#显示菜单码    ID号    菜单名称
# 999999 全套餐菜单测试专用
30410     ,00000262  ,定活两便开户
30411     ,00000263  ,冲开户
30412     ,00000264  ,现金销户
30413     ,00000265  ,转账销户
30414     ,00000266  ,冲销户
305       ,00000000  ,批量开户业务
3050      ,00000267  ,批量开户文件上传
3051      ,00000268  ,查询取消批量文件
3052      ,00000269  ,查询批量开户文件明细
3053      ,00000270  ,批量开户凭证查询
3054      ,00000271  ,批量开户存折打印
3055      ,00002707  ,查询批量文件(历史)
3056      ,00002708  ,查询批量开户文件明细(历史)
31        ,00000000  ,单位负债业务
310       ,00000000  ,普通活期
3100      ,00000000  ,开户
31000     ,00000272  ,人民币开户
31001     ,00000273  ,外币开户
3101      ,00000274  ,现金存款
3102      ,00000275  ,现金取款
3103      ,00000276  ,错账处理
3104      ,00000277  ,账户结息
3105      ,00000278  ,销户
3106      ,00000279  ,销户冲销
311       ,00000000  ,定期
3110      ,00000280  ,开户
3111      ,00000281  ,冲开户
3112      ,00000282  ,部分提前取款
3113      ,00000283  ,部提冲账
3114      ,00000284  ,取款销户
3115      ,00000285  ,强制销户
3116      ,00000286  ,销户冲销
312       ,00000000  ,通知存款
3120      ,00000287  ,开户
3121      ,00000288  ,冲开户
3122      ,00000289  ,取款
3123      ,00000290  ,错账处理
3124      ,00000291  ,销户
3125      ,00000292  ,销户冲销
3126      ,00000293  ,取款预约
3127      ,00000294  ,取消取款预约
3128      ,00000233  ,预约查询
3129      ,00001455  ,单位通知存款自动转存明细查询
313       ,00000000  ,验资户
3130      ,00000295  ,开户
3131      ,00000296  ,现金存款
3132      ,00000297  ,错账处理
3133      ,00000298  ,转活期户
3134      ,00000299  ,账户结息
3135      ,00000300  ,账户销户
3136      ,00000301  ,冲销账户销户
314       ,00000000  ,协议存款
3140      ,00000302  ,开户
3141      ,00000303  ,冲开户
3142      ,00000304  ,取款销户
3143      ,00002352  ,协议存款强制销户
3144      ,00000305  ,协议存款销户冲销
3145      ,00002353  ,协议存款账户信息维护
315       ,00000000  ,同业存款
3150      ,00000000  ,同业活期存款
31501     ,00002354  ,开户
31502     ,00002355  ,结息
31503     ,00002356  ,账户信息维护
3151      ,00000000  ,同业定期存款
31510     ,00001522  ,开户
31511     ,00001523  ,开户冲销
31512     ,00001525  ,部分提前取款
31513     ,00001524  ,销户
31514     ,00001526  ,销户冲销
31515     ,00001527  ,账户信息维护
31516     ,00001528  ,账户利率变动查询
316       ,00000000  ,一户通
3160      ,00000000  ,主账户
31600     ,00002357  ,开户
31601     ,00002358  ,普通一户通转高级
31602     ,00002754  ,账户结息
31603     ,00002359  ,一户通销户
31604     ,00002360  ,一户通销户冲销
3161      ,00000000  ,定期
31610     ,00002361  ,子账户开户
31611     ,00002362  ,子账户冲开户
31612     ,00002363  ,部分提前支取
31613     ,00002364  ,部提冲账
31614     ,00002365  ,销户
31615     ,00002366  ,强制销户
31616     ,00002367  ,销户冲销
3162      ,00000000  ,通知存款
31620     ,00002368  ,开户
31621     ,00002369  ,冲开户
31622     ,00002370  ,销户
31623     ,00002371  ,冲销户
3163      ,00000000  ,保证金
31630     ,00000000  ,活期保证金
316300    ,00002372  ,开户
316301    ,00002373  ,现金存入
316302    ,00002374  ,错账处理
316303    ,00002375  ,转账
316304    ,00002755  ,错账处理
316305    ,00002376  ,结息
316306    ,00002377  ,销户
316307    ,00002378  ,冲销户
31631     ,00000000  ,定期保证金
316310    ,00002379  ,开户
